body_region,quasi_static_force_N,transient_force_N,pressure_N_per_cm2,recommended_max_speed_ms,notes,standard
Skull / forehead,130,130,130,N/A,Force limit governs; speed not specified,"ISO/TS 15066:2016, Annex A, Table A.2"
Face,65,65,65,N/A,Lowest force limit — most sensitive,"ISO/TS 15066:2016, Annex A, Table A.2"
Neck (anterior),75,75,50,N/A,Carotid and trachea region,"ISO/TS 15066:2016, Annex A, Table A.2"
Neck (posterior),150,150,80,N/A,Cervical spine protection,"ISO/TS 15066:2016, Annex A, Table A.2"
Back / shoulders,210,210,130,N/A,"Broad surface, highest tolerance","ISO/TS 15066:2016, Annex A, Table A.2"
Chest,140,140,110,N/A,Sternum / rib region,"ISO/TS 15066:2016, Annex A, Table A.2"
Abdomen,110,110,110,N/A,Soft tissue — lower tolerance,"ISO/TS 15066:2016, Annex A, Table A.2"
Pelvis,180,180,210,N/A,"Bony structure, high surface area","ISO/TS 15066:2016, Annex A, Table A.2"
Upper arm / elbow,150,150,190,1.5,PFL mode: 1.5 m/s recommended max,"ISO/TS 15066:2016, Annex A, Table A.2"
Lower arm / wrist,160,160,180,1.5,PFL mode: 1.5 m/s recommended max,"ISO/TS 15066:2016, Annex A, Table A.2"
Hand / fingers,140,140,180,1.0,Dexterous region — 1.0 m/s max,"ISO/TS 15066:2016, Annex A, Table A.2"
Thigh / knee,220,220,250,1.5,Large muscle mass,"ISO/TS 15066:2016, Annex A, Table A.2"
Lower leg / ankle,130,130,180,1.5,,"ISO/TS 15066:2016, Annex A, Table A.2"
Foot / toes,125,125,180,1.0,Standing posture concern,"ISO/TS 15066:2016, Annex A, Table A.2"
